,Title,Poet,Poem
186,Girl Sleuth,Brenda Hillman,"A brenda is missing—where is she?
Summon the seeds & weeds, the desert whooshes. Phone the finch
with the crowded beak;   a little pretenda
                is learning to read
in the afternoon near the cactus caves. Near oleander & pulpy
caves with the click-click of the wren & the shkrrrr of the thrasher,
               a skinny pretenda is learning
to read till the missing brenda
               is found. Drip of syllables like olives near the saguaro.
Nancy Drew will find the secret in raincoats & wednesdays
              & sticks. Nancy whose spine is yellow
              or blue will find the brenda in 1962,
 Nancy                   who has no mother,
              who takes suggestions from her father & ignores them.
 
Gleam goes the wren ignoring the thorn. They cannot tell the difference.
Click of the smart dog’s nails on linoleum.
                                 Nancy bends over the clues,
of brenda’s locket & dress. Word by word
               between syllables a clue. Where has the summer gone, the autumn—
are they missing too? Maybe Nancy
                will parse the secret & read the book report on Nancy Drew:
“neat pretty sly cute.” Syllable by syllable
                & still no brenda!   Nancy
puts her hand to her forehead; is the missing
girl in the iron bird? is the clue to the girl in the locket?"
187,National Account,Joel Craig,"How do you recognize a lovely place?
The rotten anthropology of superheroes
hovers above the conference table, exhausted
on the idea of dazzling people. A plugged
organization of the moon like a turnpike
undecorated by barely legal children —
true stories end in the moody doctor city
but I always say the wrong thing. Away
from Las Vegas I spend too much time
at the whale facility. I’m bored with awakening
into historical X-rays
of the NO MOMENT. (What showmanship!)
Who does wear a cape underwater?
Now Egypt is miniaturized and it may never rain
again. Hurling bodies and collapsing lungs
used to be honestly scripted activities —
the stillness in the dream of important history.
From now on your stillness will be happening.
In the actual dream remember how the children
were modified, the sputtering, Russel Crotty language?
Friendly Calliope is no longer remedial
in the crisply American landscape. Even snowy
Vermont grows opaque, a diminished suggestion
in the desert mirror. I feel as if I’m speaking to a dear friend
but I’m saying the wrong things. I don’t like cockfights
or you’d rather be my daughter, deeply, authentically
factualizing our especially Southern roots."
188,Pantoum,Randall Mann,"If there is a word in the lexicon of love,
it will not declare itself.
The nature of words is to fail
men who fall in love with men.

It will not declare itself,
the perfect word. Boyfriend seems ridiculous:
men who fall in love with men
deserve something a bit more formal.

The perfect word? Boyfriend? Ridiculous.
But partner is . . . businesslike—
we deserve something a bit less formal,
much more in love with love.

But if partner is businesslike,
then lover suggests only sex,
is too much in love with love.
There is life outside of the bedroom,

and lover suggests only sex.
We are left with roommate, or friend. 
There is life, but outside of the bedroom.
My friend and I rarely speak of one another.

To my left is my roommate, my friend.
If there is a word in the lexicon of love,
my friend and I rarely speak it of one another.
The nature of words is to fail."
189,Partita for Sparrows,Brenda Hillman,"We bury the sparrows of Europe
with found instruments,
their breasts light as an ounce of tea
where we had seen them off the path,
their twin speeds of shyness & notched wings
near the pawnbroker’s house by the canal,
in average neighborhoods of the resisters,
or in markets of princely delphinium & flax,
flying from awnings at unmarked rates
to fetch crumbs from our table half-spinning
back to clefs of grillwork on external stairs
we would descend much later;
 
in rainy neighborhoods of the resisters
where streets were taken one by one,
where consciousness is a stair or path,
we mark their domains with notched sticks
of hickory or chestnut or ash
because our cities of princely pallor
should not have unmarked graves.
Lyric work, flight of arch, death bridge
to which patterned being is parallel:
they came as if from the margins
of a painting, their average hearts half-spinning
our little hourglass up on the screen."
190,Penguin,Joel Craig,"Have you seen, have you seen magic shadows? — Fleetwood Mac, “Nightwatch”

My fugues have no apparent relation to past trauma of any kind.
When it came time to rehearse we decided to get glamorous.
We get all done-up for rehearsal. Gradually, imperceptibly, things begin
slipping back into their normal place. My body is slowly rotating
into its proper north-south orientation. My playing is flawless
as it turns out. The audience goes nuts
but what was it all about?
Had I longer to see the aspects and facets of the family,
which as we know are not always tickety-boo but I have drifted away
like a wide-winged bird over many things that are meaningless,
yet my mind is clicking away quite properly on other levels.
I was never in it for the money, but I see where it goes
without ever touching it.
 
It was like a honeymoon — nothing made sense, sounding utterly
convincing to my own ears — selfness in training, needing a month of good sleep.
When I woke I saw the sunlight streaming in across the ceiling and thought
oh boy, we were awful yesterday, the obvious response being
to phone the boss and tell him you’re sick and go to bed until it’s passed,
except Boss is in bed too.
Don’t let the lack of his spirit blind your life.
You would expect me to tell you, wouldn’t you, if our positions were reversed,
while I look for a suitable shirt, but you
don’t have any more to accomplish, nothing at all.
Did you ever love me? Could I grit my teeth
and carry it all off without anyone being the wiser?
 
Any words that have concrete meanings are fine
and completely friendly. The whole history of the human race
is somewhat sad, wouldn’t you say, if you look at it
in a certain way? But then, if you squint a bit differently
it isn’t sad at all.
 
There were times we were all hurting really bad,
thinking the bed will win. Maybe it was the beginnings of trademark —
if we stayed telepathic we couldn’t do that — surprise, surprise,
and that’s how we decided to do the dance
and that’s how The Dance came about.
There was a large, grassy clearing in the forest,
the trees around it thick and tall and there was sunlight
on the grass. We knew that people were worshipping
and the way they did it was to gather around a place like this
and allow themselves to become a part of it, greeting it
and letting it greet them feeding their bodies to their souls,
the pity of the tribe was how we imagined it,
seeing behind closed eyelids a lovely scene,
looking down from an open balcony into a central courtyard.
We were in a place that appeared to consist of baskets of flowers.
 
I could see only the top of his brown hair and his moving hands.
There’s a lot of color. It’s more noticeable than usual — I mean
there are little prisms, rainbows everywhere
but whether it was guitar or piano I couldn’t tell you — this is
pre-Lindsey. The back room was vicious, everyone on a different drug.
If you turned your back you’d better keep on walking.
We did this every night, playing country rock at the height of glitter,
mixed-bag material. We needed theoretical problems!
My back to him, I said, “You mean us poor, sad little cast-offs,
wouldn’t it be nice if we could cheer each other up
so our miser wouldn’t cast a pall
on the happiness of the Prince and Princess?”
Only I’m foreshadowing with picky surfaces.
The morals are contemporary — argument
of sounds, accomodation, implosion, but still
the ineffable grace of seeming perishable —
the ordinariness of making love and hearing music.
 
I’m okay by myself, believe me.
It’s a thought that gives rise to immense self-compassion. Okay,
I’ll deal with this.
I kind of went on the skids.
It was just the four of us finally starting to crank it out, faster
and faster, until it was too fast.
Then one day, it was a Friday, always payday and I was in the bedroom
beginning to sort out what I thought of as my shitpile,
a collection of such things as dresses, belts, stockings, photographs,
and old magazines all waiting to be put where they belong."
191,The Speed of Darkness,Muriel Rukeyser,"I

Whoever despises the clitoris despises the penis
Whoever despises the penis despises the cunt
Whoever despises the cunt despises the life of the child.

Resurrection music,        silence,        and surf.

                             II

No longer speaking
Listening with the whole body
And with every drop of blood
Overtaken by silence

But this same silence is become speech
With the speed of darkness.

                             III

Stillness during war, the lake.
The unmoving spruces.
Glints over the water.
Faces, voices.        You are far away.
A tree that trembles.

I am the tree that trembles and trembles.

                             IV

After the lifting of the mist
after the lift of the heavy rains
the sky stands clear
and the cries of the city risen in day
I remember the buildings are space
walled, to let space be used for living
I mind this room is space
this drinking glass is space
whose boundary of glass
lets me give you drink and space to drink
your hand, my hand being space
containing skies and constellations
your face
carries the reaches of air
I know I am space
my words are air.

                              V

Between        between
the man : act        exact
woman : in curve        senses in their maze
frail orbits, green tries,           games of stars
shape of the body speaking its evidence

                               VI

I look across at the real
vulnerable        involved        naked
devoted to the present of all I care for
the world of its history leading to this moment.

                              VII

Life the announcer.
I assure you
there are many ways to have a child.
I bastard mother
promise you
there are many ways to be born.
They all come forth
in their own grace.

                              VIII

Ends of the earth join tonight
with blazing stars upon their meeting.
These sons,        these sons
fall burning into Asia.

                               IX

Time comes into it.
Say it.        Say it.
The universe is made of stories,
not of atoms.

                                X

Lying
blazing beside me
you rear beautifully and up—
your thinking face—
erotic body reaching
in all its colors and lights—
your erotic face
colored and lit—
not colored body-and-face
but now entire,
colors       lights       the world thinking and reaching.

                               XI

The river flows past the city.

Water goes down to tomorrow
making its children        I hear their unborn voices
I am working out the vocabulary of my silence.

                             XII

Big-boned man young and of my dream
Struggles to get the live bird out of his throat.
I am he am I?        Dreaming?
I am the bird am I?        I am the throat?

A bird with a curved beak.
It could slit anything, the throat-bird.
Drawn up slowly.        The curved blades, not large.
Bird emerges        wet        being born
Begins to sing.

                             XIII

My night awake
staring at the broad rough jewel
the copper roof across the way
thinking of the poet
yet unborn in this dark
who will be the throat of these hours.
No.        Of those hours.
Who will speak these days,
if not I,
if not you?"
192,The White House,Joel Craig,"He knows how to do what he sets out to do
                                                       with perfectly obvious procedure. The sea
                                                       is dark and forbidding. The horizon
                                                       is dark and forbidding.
 
Even from a distance, the less said the better. The colors in some of these landscapes
                                                       are perfectly desperate.
 
In a portrait there is never anything wrong
                                                      with the mouth. There is never anything wrong
                                                      with anything. Machines are not choosers.
                                                      The next best things are certain. Heaven
                                                      knowing the next best things. The young
                                                      can explain it, but who would they explain
                                                      it to? More promise than performance
                                                      as all sorts of things begin to interfere.
 
An energetic hostess seated me at the counter
                                                      next to a beautiful woman. It is possible
                                                      the timid portion of the population
                                                      unless held firmly in check will imitate
                                                      the silliness of timid people of years ago.
 
Supplication is valued. As soon as I learned the facts I gave up
                                                      on the exchange. She wanted something
                                                      mysterious, as if everything were the same.
 
Life changes and so-called truth changes with it. The businesslike
                                                      haste of the surgeon as he scolds the public.
                                                      To look at him and the thing he can never look at
                                                      shudderingly as the blood is drawn
                                                      is the duty of every patriot.
 
In a constructive age such as this I should have neglected everything
                                                      for the supreme duty of aiding
                                                      in the reconstruction.
 
I took my courage, which starts everywhere and goes
                                                      nowhere, and spoke to her. Here
                                                      one can unquestionably infer the inside
                                                      from the outside.
 
The leaders of the free world, assembled as if by magic,
                                                      seem to have the enemy at their mercy.
                                                      It can be argued that Christ himself spoke
                                                      to the mob. The crowd will stop
                                                      to see almost anything. The crowd will stop
                                                      to see something about almost everything."
193,[Coda de l'itinérant figé / Coda of the Fixed Itinerant],Geoffrey Brock,"Always the evening noises, the footsteps on the stairs, the day that rises in the throat. 
       A turn of the key will expel the world. 
       Against the extinct forest of furniture, the channeled bloodstream translates the dream into this small life. 

       In the end we shrink until finally we can no longer inhabit the gestures of our childhood. 

       A nail in a board: the remains of a fence; blurred memory of the mountain that raised the tree, that brooded over its ore. 

       Modest against a hedge, a spade dreams its beautiful death. 
       “Simple and calm,” nourished on weeds and wind, the image moves, distilling its own memory. Far off, we disappear into the ochre and the gold, the mud-brown and the primordial green.

       The slightest evidence of life. In the courtyard's silence, the barking of that dog. A shutter, merely, that's banging. Those books stacked in one corner of the room. Everything that, ordinarily, follows its automated course. And there, all at once: the happiness that spreads its billion pinpricks through the body.

        Evening's voice unreels its argument. Five floors below, the courtyard and its echoes. The barking still, and overhead the footsteps of regret in the maids' rooms. I'll try to have given each thing my word before giving in to sleep. 

       The room breathes deeply the music of a quartet. It's that grave well-being, unexpectedly, you know? 
       Nobody. You may speak. I'm not there. 

       A gesture: the garden diffuses the pale green taste of currants. One remains quiet as long as possible.
       Another gesture: the sun rips open the scent of the lindens. Childhood leaps over the wall. 
       The miracle would be having something to say. 

       Maybe we could have inhabited that smile, over there, at the other end of the room; or else we could have met at the improbable dawn of memory. Maybe we could have fallen asleep in the twilight of this autumn when the brain is nothing more than oak and leather.
       But we have only this thin life to place beneath the axe. 

       The crows in the plowed field, black against the field's ochre, gleaming and black amid the smell of moist earth, a smell mixed with the brush and bark and roots that the wind returns as someone somewhere burns them. 
       And then that pile of words that rots with helplessness.

       In the forest, the sound, dry and brief, of a pebble in a streambed, fallen after patient millennia into the earth's darkness. Just a dry sound and its echo, quickly engulfed by birdcalls. And later, on the path, drops of blood from the trees. 

       A farmer carriers his tools slowly toward the shed. In the atmospheric silence, a woodpecker registers the sound of its life's work. That's all. Some animals, a pile of wood, and the smell of rain, which always calls to mind something that can't quite be reconstructed. 

       Acrid smoke; and then that crackling of the woods in the clearing. A few centimeters above the cut weeds, the tenuous vapor of memory. 
       Between eyelashes, amid the colors of the woods, the colors of weeds, and earth, that sky, that patch of sky, that sky. 

       The courtyard, the wood bench, the sputtering of the fishpond, the smell of humus, the smell of mushroom. 
       Five notes in the rain sketch the presence of a bird. 

       The village, the morning, belong to the birds. Images flow freely through the alleys. Silence full of events: the eyes prey on a shadow. A gull's passing reshapes all the shores of the world. 

       Birdcalls cut through the fog, wet grass: morning. The rectangle of a wall says: “blank,” nothing else. On the horizon, very nearby, a woman dressed in black glides silently across her wide open destiny. 

       Between branches, near the sun, the moon, which opens the night to the night. I sink, gently, and disappear. On the surface, alone, the cry of an owl keeps watch. 

       The stairs, the brass doorknob, the smell of dark corners. The iron bed, the red bedspread. Slow breathing. That song that waits for nothing but our melody. 

       We are of the morning, of the gently sloping hour that comes slowly down from the sun. The old clothes in the corner are tinged with the morning's color, which will have to be worn. The lark's song widens the silence. 

       Deep in the forest, the cuckoo, the woodpecker, the chiaroscuro of ancient musics. Heavy wagons clench their signal-lights toward the heights of the opaque sky. I moved with closed words across the homeland that sleeps me. 

       From this far country, where you respond to me without my hearing a word of yours, without perhaps my words ever reaching you, from this country where perhaps we understand each other, I overhear the most contradictory noises, which veil and deny your voice, and which would like to make me believe that I'm speaking alone."
194,Franciscan Complex,Brenda Hillman,"Each day the job gets up
And rubs its eyes
 
We are going to live on in dry amazement
 
Workers push the granite bed under the avenue
 
Bed of the married
The re-          the pre-married
 
Making a form as forms become infinite
 
The scrapings       scraping
 
Graywhacke    chert
 
People wait for their bumpy little pizzas
Theories of theories in gravity voices
 
Melpomene goddess of tragedy bathes
 
Mostly the bride never the bridesmaid
 
Angel food in whole foods
 
Consider Tanguy whose lunar responses to childhood
Made everything a horizon
 
Those walking upside down don’t know what to think
 
The finch engineering itself to deep spring
 
Or you        life       tired of being cured
 
How many layers
Of giving up are there
 
One of it
 
Two of everything in the arc you save"
195,Glacial Erratics,Brenda Hillman,"The last ice age had been caused by a wobble.
After it passed they made houses from stars;
 
Visitors would peer in
And see the tongs not slipping,
 
Roomsized pebbles having been moved far.
 
It’s like this more
When we speak than when we write;
 
Loving thus we have been
Loved by ground,
 
The word being
A box with four of its corners hidden;
 
Everything else is round."
196,In Ecstasy,Erin Belieu,"at the altarpiece of Saint Teresa
 
 

No need to be coy—
you know what
she’s doing
 
And so did Bernini,
when he found Teresa
in the full-throttle of
her divine vision,
            caught her at it,
 
carving this surrender
so fluidly you expect
the impossible:
 
for her tang to swell up, ripe
as seafoam, from the gulf
of her flushed and falling
figure. Perhaps this is how
 
God comes to us,
or should come to us, all:
 
the bluntly and
beautifully corporeal at
 
prayers in the Sunday
school of pleasure. Why
 
shouldn’t He come to us
as He did to Teresa? A saint
 
on her back—
a girl tearing open
the gift He gave her?"
197,Statueless Architecture,Brenda Hillman,"I passed through nature
 
into the next. Children
 
running in unsupervised shadows.
 
Last century’s fountains learning
 
not to lie. Risk
 
to identify with only
 
one element since one
 
will die but in
 
the summer air around
 
each thought, something is
 
built and avoided. You
 
go through an arch
 
and aren’t the arch,
 
just infinity of form,
 
curve’s curve of becoming,
 
a phrase tracking it
 
to future’s celadon relief.
 
As others dressed as
 
others we were supposed
 
to meet. Citizens walked
 
here without disappointment, seeing
 
no statue or palace
 
with eleven axes, patient
 
in the mindless heat—"
198,Summer Garden,Brenda Hillman,"~~ & thus you entered
 
a forest of solitudes
 
where in this great
 
sense your life had
 
been pursued, till like
 
a shadow breaking off
 
a rising body, a
 
need hovered & grew.
 
Some lined feature of
 
another fate strives to
 
be met, sits low
 
& upright. Those qualities
 
which had been energy
 
or grace past pain
 
wove from the nerves
 
a nest or instinct.
 
Your calms are interesting.
 
Write to us during
 
this terrible government. A
 
universe coughs blue &
 
draws a twiceness from
 
the mitred now, while
 
your garden hand spells
 
the inexhaustible forms~~
 
 

 
 
FOR  ELIZABETH   ROBINSON"
199,Of the Poet’s Youth,Erin Belieu,"When the man behind the counter said, “You pay
by the orifice,” what could we do but purchase them all?
 
Ah, Sandy, you were clearly the deluxe doll, modish and pert
in your plastic nurse whites, official hostess to our halcyon days,
 
where you bobbed in the doorway of our dishabille apartment,
a block downwind from the stockyards. Holding court on
 
the corroded balcony, K. and I passed hash brownies, collecting
change for the building’s monthly pool to predict which balcony
 
would fall off next. That’s when K. was fucking M. and M. was
fucking J., and even B. and I threw down once on the glass-speckled
 
lawn, adrift in the headlights of his El Camino. Those were immortal
times, Sandy! Coke wasn’t addictive yet, condoms prevented herpes
 
and men were only a form of practice for the Russian novel
we foolishly hoped our lives would become. Now it’s a Friday night,
 
sixteen years from there. Don’t the best characters know better
than to live too long? My estranged husband house-sits for a spoiled
 
cockatoo while saving to buy his own place. My lover’s gone back
to his gin and the farm-team fiancée he keeps in New York.
 
What else to do but read Frank O’Hara to my tired three-year-old?
When I put him to bed, he mutters “more sorry” as he turns into sleep.
 
Tonight, I find you in a box I once marked “The Past.” Well,
therapy’s good for some things, Sandy, but who’d want to forgive
 
a girl like that? Frank says Destroy yourself if you don’t know!
Deflated, you’re simply the smile that surrounds a hole.
                                                                                     I don’t know anything."
200,Violent Rooms,Dawn Lundy Martin,"1.   
The contours of the girl blur. She is both becoming and fact.
A rancor defines the split. Rip into. Flatten the depth of voice. That
 
urgent flex peels off the steady layers. A girl, I say.
Girl. Gu-erl. Quell. He. He—unbuttons before emergence.
 
As in yard rake pressed to roof of mouth. A fragrant rod.
 Suh—sssuh—ssuck. Insistence. Lips go lisp. Our brutish boy.
 
Having not ever been whole. Or simple. Or young. Just split and open.
Not of it. For it. Born a cog of hard wheel at five, six, seven . . .
 
What to know of what has never been?
 
 
 2.  

No common place would do: bar stool, front porch, sea rock.
Such a room should crawl into the soul. Stretch it. Contort it.
 
Could be the straddle of this stranger at the neck. I am this. 
She does not waver. She is twenty-five. The bed is wet. As many
 
as had done this thing before. The wound is rupture. Blood-faced.
Between sailing and anchor. No, between shipwreck and burial.
 
What does the mouth do? It does not mean no, saying no.
It does not mean yes. It gurgles. It swells. It is comfort.
 
A quick kick. Mighty, mighty."
201,I Heart Your Dog’s Head,Erin Belieu,"I’m watching football, which is odd as
I hate football
in a hyperbolic and clinically revealing way,
but I hate Bill Parcells more,
because he is the illuminated manuscript
of cruel, successful men, those with the slitty eyes of ancient reptiles,
who wear their smugness like a tight white turtleneck,
and revel in their lack of empathy
for any living thing.
So I’m watching football, staying up late to watch football,
hoping to witness (as I think of it)
The Humiliation of the Tuna
(as he is called),
which is rightly Parcells’s first time back in the Meadowlands
since taking up with the Cowboys,
who are, as we all know,
thugs, even by the NFL’s standards. The reasons

I hate football are clear and complicated and were born,
as I was, in Nebraska,
where football is to life what sleep deprivation is
to Amnesty International, that is,
the best researched and most effective method
of breaking a soul. Yes,
there’s the glorification of violence, the weird nexus
knitting the homo, both phobic and erotic,
but also, and worse, my parents in 1971, drunk as
Australian parrots in a bottlebush, screeching
WE’RE #1, WE’RE #1!
when the Huskers finally clinched the Orange Bowl,
the two of them
bouncing up and down crazily on the couch, their index
fingers jutting holes through the ubiquitous trail of smoke rings
that was the weather in our house,
until the whole deranged mess that was them,
my parents, the couch, their lit cigarettes,
flipped over backward onto my brother and me. My husband
thinks that’s a funny story and, in an effort to be a “good sport,”
I say I think it is, too.
 
Which leads me to recall the three Chihuahuas
who’ve spent the fullness of their agitated lives penned
in the back of my neighbor’s yard.
Today they barked continuously for 12 minutes (I timed it) as
the UPS guy made his daily round.
They bark so piercingly, they tremble with such exquisite outrage,
that I’ve begun to root for them, though it’s fashionable
to hate them and increasingly dark threats
against their tiny persons move between the houses on our block.
But isn’t that what’s wrong with this version of America:
the jittering, small-skulled, inbred-by-no-choice-
of-their-own are despised? And Bill Parcells—
the truth is he’ll win
this game. I know it and you know it and, sadly,
did it ever seem there was another possible outcome?
 
It’s a small deposit,
but I’m putting my faith in reincarnation. I need to believe
in the sweetness of one righteous image,
in Bill Parcells trapped in the body of a teacup poodle,
as any despised thing,
forced to yap away his next life staked to
a clothesline pole or doing hard time on a rich old matron’s lap,
dyed lilac to match her outfit.
I want to live there someday, across that street,
and listen to him. Yap, yap, yap."
202,Happiness,Paisley Rekdal,"I have been taught never to brag but now
I cannot help it: I keep
a beautiful garden, all abundance,
indiscriminate, pulling itself
from the stubborn earth: does it offend you
to watch me working in it,
touching my hands to the greening tips or
tearing the yellow stalks back, so wild
the living and the dead both
snap off in my hands?
The neighbor with his stuttering
fingers, the neighbor with his broken
love: each comes up my drive
to receive his pitying,
accustomed consolations, watches me
work in silence awhile, rises in anger,
walks back. Does it offend them to watch me
not mourning with them but working
fitfully, fruitlessly, working
the way the bees work, which is to say
by instinct alone, which looks like pleasure?
I can stand for hours among the sweet
narcissus, silent as a point of bone.
I can wait longer than sadness. I can wait longer
than your grief. It is such a small thing
to be proud of, a garden. Today
there were scrub jays, quail,
a woodpecker knocking at the white-
and-black shapes of trees, and someone’s lost rabbit
scratching under the barberry: is it
indiscriminate? Should it shrink back, wither,
and expurgate? Should I, too, not be loved?
It is only a little time, a little space.
Why not watch the grasses take up their colors in a rush
like a stream of kerosene being lit?
If I could not have made this garden beautiful
I wouldn’t understand your suffering,
nor care for each the same, inflamed way.
I would have to stay only like the bees,
beyond consciousness, beyond
self-reproach, fingers dug down hard
into stone, and growing nothing.
There is no end to ego,
with its museum of disappointments.
I want to take my neighbors into the garden
and show them: Here is consolation.
Here is your pity. Look how much seed it drops
around the sparrows as they fight.
It lives alongside their misery.
It glows each evening with a violent light."
203,[When the bed is empty ... ],Dawn Lundy Martin,"When the bed is empty, we pull the shades to block light,
light of resemblance to remembery, long light of waiting,
an impatience in the glows of it. The here of the now and the glow
that days make in the room, without the body but with the stench
of it. So we say, vacancy and abject,against the was, against
a philosophy of once and then not. Not-being against.
A child once grew here. As lines on a wall. As
growing without knowing what would one day not be. A
gnawing grows. Grew and was. Protection is curled. Motion-
less. I envy her in her room. Hers with paint and dolls and hand-
prints. Great green and glowing under blankets with a hand
that nurtures the heart of the mouth, purrs into mouth, loves
the heart. Heart beating within another—blushing blood—
God, the beating, lit, and doing what it does."
204,Why Some Girls Love Horses,Paisley Rekdal,"And then I thought, Can I have more
of this, would it be possible
for every day to be a greater awakening: more light,
more light, your face on the pillow
with the sleep creases rudely
fragmenting it, hair so stiff
from paint and sheet rock it feels
like the dirty short hank
of mane I used to grab on Dandy’s neck
before he hauled me up and forward,
white flanks flecked green
with shit and the satin of his dander,
the livingness, the warmth
of all that blood just under the skin
and in the long, thick muscle of the neck—
He was smarter than most of the children
I went to school with. He knew
how to stand with just the crescent
of his hoof along a boot toe and press,
incrementally, his whole weight down. The pain
so surprising when it came,
its iron intention sheathed in stealth, the decisive
sudden twisting of his leg until the hoof
pinned one’s foot completely to the ground,
we’d have to beat and beat him with a brush
to push him off, that hot
insistence with its large horse eye trained
deliberately on us, to watch—

Like us, he knew how to announce through violence
how he didn’t hunger, didn’t want
despite our practiced ministrations: too young
not to try to empathize
with this cunning: this thing
that was and was not human we must respect
for itself and not our imagination of it: I loved him because
I could not love him anymore
in the ways I’d taught myself,
watching the slim bodies of teenagers
guide their geldings in figure eights around the ring
as if they were one body, one fluid motion
of electric understanding I would never feel
working its way through fingers to the bit: this thing
had a name, a need, a personality; it possessed
an indifference that gave me
logic and a measure: I too might stop wanting
the hand placed on back or shoulder
and never feel the desired response.
I loved the horse for the pain it could imagine

and inflict on me, the sudden jerking
of head away from halter, the tentative nose
inspecting first before it might decide
to relent and eat. I loved
what was not slave or instinct, that when you turn to me
it is a choice, it is always a choice to imagine pleasure
might be blended, one warmth
bleeding into another as the future
bleeds into the past, more light, more light,
your hand against my shoulder, the image
of the one who taught me disobedience
is the first right of being alive."
205,Basal Cell,George Bilgere,"The sun is still burning in my skin
even though it set half-an-hour ago,
and Cindy and Bob and Bev and John
are pulling on their sweatshirts
and gathering around the fire pit.

John hands me a cold one
and now Bev comes into my arms
and I can feel the sun’s heat,
and taste the Pacific on her cheek.

I am not in Vietnam,
nor is John or Bob, because
our deferments came through,
and we get to remain boys
for at least another summer
like this one in Santa Cruz,
surfing the afternoons in a sweet
blue dream I’m remembering now,

as the nurse puts my cheek to sleep,
and the doctor begins to burn
those summers away."
206,Little Girl,Tami Haaland,"She’s with Grandma in front
of Grandma’s house, backed
by a willow tree, gladiola and roses.

Who did she ever want
to please? But Grandma
seems half-pleased and annoyed.

No doubt Mother frowns
behind the lens, wants
to straighten this sassy face.

Maybe laughs, too.
Little girl with her mouth wide,
tongue out, yelling

at the camera. See her little
white purse full of treasure,
her white sandals?

She has things to do,
you can tell. Places to explore
beyond the frame,

and these women picking flowers
and taking pictures.
Why won’t they let her go?"
207,Time,Robin Chapman,"My neighbor, 87, rings the doorbell to ask
 if I might have seen her clipping shears
 that went missing a decade ago,
 with a little red paint on their shaft,
 or the iron turkey bank and the porcelain
 coffee cup that disappeared a while back
 when her friend, now dead, called the police
 to break in to see if she were ill, and have we
 had trouble with our phone line, hers
 is dead and her car and driver’s license
 are missing though she can drive perfectly
 well, just memory problems, and her son
 is coming this morning to take her up
 to Sheboygan, where she was born
 and where the family has its burial lots,
 to wait on assisted living space, and she
 just wanted to say we’d been good neighbors
 all these how many? years, and how lucky
 I am to have found such a nice man
 and could she borrow a screwdriver,
 the door lock to her house is jammed."
208,Evening Conversation,Allan Johnston,"For Robert Penn Warren

Reckless and white as a flashlight beam cast
into some dark corner, the moon
insists on the deeper blackness

surrounding it. Perhaps it wishes
to be a woman or a window, 
cushioning everything, full of itself

for the moment, yet frightened, like any egotist.
But still the stars patiently insist
on their presence, pinholes to nothingness. 

When else would I walk on such a night in the world? 

Half answers suggest themselves. 
The body consumes and wanes, collapses. 
We get to watch how everyone
dies who dies before us,
how birds rest. 

And yet while night solidifies, 
we can continue our discussion
in our effort to open the gift of the world, 
our hope to find years
in this box we tear apart. 

Birds do not count in our calibration. 
They crack time randomly, as if it were seeds. 
With sudden unaccountability
they start up and disappear. 

And yet, in some way all of this
is beside the point, for what can we do
except continue our conversation, 
and what would we gain if we disappeared? 

They tell us that this is so. 

Do you have any songs from your childhood
you still use to sing yourself to sleep? 

Being, mind, ego: the moon loves itself
in cloud shimmers, dancing as if it had pulled
a scant nightie off a laundry line
to clown with. 

We can only walk while there is light."
209,About My Birthday,Marie Ponsot,"I’d like to assume
 from my April birthday,
 I quickened the womb
 on the 4th of July.

 If you suffered as I
 a sternly fought tendency
 to endless dependency
 you’d know why."
210,Album,Kay Ryan,"Death has a life
of  its own. See
how its album
has grown in
a year and how
the sharp blot of it
has softened 
till those could
almost be shadows
behind the
cherry blossoms
in this shot.
In fact you
couldn’t prove
they’re not."
211,Among Women,Marie Ponsot,"What women wander?
 Not many. All. A few.
 Most would, now & then,
 & no wonder.
 Some, and I’m one,
 Wander sitting still.
 My small grandmother
 Bought from every peddler 
 Less for the ribbons and lace
 Than for their scent
 Of sleep where you will, 
 Walk out when you want, choose
 Your bread and your company. 

 She warned me, “Have nothing to lose.”

 She looked fragile but had
 High blood, runner’s ankles,
 Could endure, endure.
 She loved her rooted garden, her
 Grand children, her once
 Wild once young man.
 Women wander
 As best they can."
212,An Inquiry into the Nature and Causes of the Wealth of Nations,Simon Armitage,"Compiling this landmark anthology of poetry in English
 about dogs and musical instruments is like swimming through bricks. 
 To date, I have only, “On the Death of Mrs. McTuesday’s Pug,
 Killed by a Falling Piano,” a somewhat obvious choice. 
 True, an Aeolian harp whispers alluringly 
 in the background of the anonymous sonnet, “The Huntsman’s
       Hound,” 
 but beyond that — silence. 

 I should resist this degrading donkey-work in favor of my own
       writing, 
 wherein contentment surely lies. 
 But A. Smith stares smugly from the reverse of the twenty pound
       note, 
 and when my bank manager guffaws, 
 small particles of saliva stream like a meteor shower 
 through the infinity of dark space 
between his world and mine."
213,Artifice,Peter Spagnuolo,"The plastic Great Horned Owl, stuck with glue
on the stamped tin, corbelled cornice lip
impresses no one — not the starlings that dip
and stitch, nor pigeons as they fluff and coo
around its feet. And vinyl siding’s too
regular — each molded, faux-grained strip
identical, but for dents, and that drip
of   bird shit from a sill. What if all you
might say speaks like crafted, ersatz things:
mimicry in a tongue you barely know?
Your owl signs death, the cornice stone, the fake
clapboard conjures farmhouse. While just below
the ledge, a wren’s mindless gestures make
an altar of twigs, in veneration of wings."
