,Title,Poet,Poem
46,The Dignity of Ushers,Al Maginnes,"Their authority did not unfold 
from ironed white shirts and thin ties 
or from the funereal seriousness that struck 
their acne-splashed faces but because 
they stood heir to our native faith in light. 

So we followed the thin white waver 
of beams they pointed down aisles 
to seats we never thought of refusing. 
It was the first job I wanted, 
especially after birthday outings 

far from home showed me the glowing 
outfits worn by big-city ushers, their get-ups 
a blend of doorman and military dictator, 
as gaudy and fine as the plots 
of movies my Saturdays were swallowed by. 

None of us knew, as they took us 
into the artificial light of the cinema, 
that they walked the path of the pin setter, 
the blacksmith or elevator operator, 
professions reduced to curiosity 

by wandering time. Only in the quick steps 
of floor salesmen, the slim backs of hostesses 
bringing us to our tables, do they remain, 
the artful flutters of their flashlights lost 
in dark we are left to find our own way through."
47,Dio Ed Io,Charles Wright,"There is a heaviness between us,   
Nameless, raised from the void, that counts out the sprung hours.   
What ash has it come to purify?   
What disappearance, like water, does it lift up to the clouds?   

God of my fathers, but not of mine,   
You are a part, it is said, an afterthought, a scattered one.   
There is a disappearance between us as heavy as dirt.   
What figure of earth and clay would it have me become?   

Sunday again, January thaw back big time.   
The knock-kneed, overweight boys and girls   
Sit on the sun-warmed concrete sidewalk outside the pharmacy   
Smoking their dun-filtered cigarettes.   

Nothing is bothering them—and their nicotine dreams—   
This afternoon. Everything's weightless,   
As insubstantial as smoke.   
Nothing is disappearing in their world. Arrival is all.   

There is a picture of Yves Klein leaping out of a window   
Above a cobblestone Paris street.   
A man on a bicycle peddles away toward the distance.   
One of them's you, the other is me.   

Cut out of the doctored photograph, however, the mesh net   
Right under the swan-diving body.   
Cut out of another print, the black-capped, ever-distancing cyclist, as well as the mesh net.   
Hmm . . . And there you have it, two-fingered sleight-of-hand man.   

One loses one's center in the air, trying to stay afloat,   
Doesn't one? Snowfalling metaphors.   
Unbidden tears, the off-size of small apples. Unshed.   
And unshedable.   

Such heaviness. The world has come and lies between us.   
Such distance. Ungraspable.   
Ash and its disappearance—   
Unbearable absence of being,   
                                           Tonto, then taken back."
48,Diorama,Atsuro Riley,"The Blue Hole Summer Fair, set up and spread out like a butterfly pinned down on paper. Twin bright-lit wings, identically shaped (and fenced) and sized. 

    This side holds the waffled-tin (and oven-hot) huts of the Home Arts Booths and Contests, the hay-sweet display-cages for the 4-H livestock, the streamer-hung display-stages where girl-beauties twirl and try for queen. There's rosette-luster (and -lusting), and the marching band wearing a hole in Sousa. And (pursed) gaggles and clutches of feather-white neighbor-women, eyeballing us like we're pig's feet in a jar. 
                         I wonder does her boy talk Chinese? 
                                           You ever seen that kind of black-headed? 
                                                             Blue shine all in it like a crow.  

    This other wing (the one I'm back-sneaking, side-slipping, turnstiling into) dips and slopes down to low-lying marsh-mire: whiffs of pluff-mud stink and live gnat-pack poison, carnie-cots and -trailers camped on ooze. They've got (rickety) rides, and tent-shows with stains, and rackety bare-bulbed stalls of Hoop-La Game (RING-A-COKE!) and Rebel Yell and Shoot the Gook Down. Stand here, on this smutch-spot: don't these mirrors show you strange? 

    Crowds are gathering. Yonder there and down, the yolk-glow of a tent is drawing men on (and in) the way a car-crash does, or a cockfight sure enough, or neon. The ticket-boy's getting mobbed at the fly of the door. 
         No sign in sight, except for the X of the Dixie-flag ironed across his t-shirt. 
         I am bone-broke but falling into line. 
         The men upwind of me are leaking chaw-spit and pennies. 
         That, plus the eye-hunger spreading like a rumor through the swarm. 
         The rib-skinny doorkeeper's hollering: bet now, bout's bout startin! 
         Over his shoulder, a ropy yellow light. 
         Also: circles of white tobacco-smoke, and bleacher-rows of (cooncalling) men who know my daddy. 
         —And there he is, up in front with some tall man, iron-arming two black-chested boys toward the ring."
49,The Dipper,Kathleen Jamie,"It was winter, near freezing,
I'd walked through a forest of firs
when I saw issue out of the waterfall
a solitary bird.

It lit on a damp rock,
and, as water swept stupidly on,
wrung from its own throat
supple, undammable song.

It isn't mine to give.
I can't coax this bird to my hand
that knows the depth of the river
yet sings of it on land."
50,Disgraceland,Mary Karr,"Before my first communion, I clung to doubt 
      as Satan spider-like stalked 
           the orb of dark surrounding Eden 

for a wormhole into paradise. 
     God had formed me from gel in my mother’s womb, 
           injected by my dad’s smart shoot. 

They swapped sighs until 
      I came, smaller than a bite of burger. 
           Quietly, I grew till my lungs were done 

then the Lord sailed a soul 
      like a lit arrow to inhabit me. 
           Maybe that piercing 

made me howl at birth, 
      or the masked creatures whose scalpel 
           cut a lightning bolt to free me. 

I was hoisted by the heels and swatted, fed 
      and hauled around. Time-lapse photos show 
           my fingers grow past crayon outlines, 

my feet come to fill spike heels. 
      Eventually, I lurched out 
           to kiss the wrong mouths, get stewed, 

and sulk around. Christ always stood 
      to one side with a glass of water. 
           I swatted the sap away. 

When my thirst got great enough to ask, 
      a clear stream welled up inside, 
           some jade wave buoyed me forward, 

and I found myself upright 
      in the instant, with a garden 
           inside my own ribs aflourish. 

There, the arbor leafs. 
      The vines push out plump grapes. 
           You are loved, someone said. Take that 

           and eat it."
51,Dismantling the House,Stephen Dunn,"Rent a flatbed with a winch.
With the right leverage
anything can be hoisted, driven off.

Or the man with a Bobcat comes in,
then the hauler with his enormous truck.
A leveler or a lawyer does the rest;

experts always are willing to help.
The structure was old, rotten in spots.
Hadn't it already begun to implode?

Believe you've just sped the process up.
Photographs, toys, the things that break
your heart—let's trust

they would have been removed,
perhaps are safe with the children
who soon will have children of their own.

It's over. It's time for loss to build
its tower in the yard where you
are merely a spectator now.

Admit you'd like to find something
discarded or damaged, even gone,
and lift it back into the world."
52,Dog Music,Paul Zimmer,"Amongst dogs are listeners and singers.
My big dog sang with me so purely,
puckering her ruffled lips into an O,
beginning with small, swallowing sounds
like Coltrane musing, then rising to power
and resonance, gulping air to continue—
her passion and sense of flawless form—
singing not with me, but for the art of dogs.
We joined in many fine songs—""Stardust,""
""Naima,"" ""The Trout,"" ""My Rosary,"" ""Perdido.""
She was a great master and died young,
leaving me with unrelieved grief,
her talents known to only a few.

Now I have a small dog who does not sing,
but listens with discernment, requiring
skill and spirit in my falsetto voice.
I sing her name and words of love
 andante, con brio, vivace, adagio.
Sometimes she is so moved she turns
to place a paw across her snout,
closes her eyes, sighing like a girl
I held and danced with years ago.

But I am a pretender to dog music.
The true strains rise only from
the rich, red chambers of a canine heart,
these melodies best when the moon is up,
listeners and singers together or
apart, beyond friendship and anger,
far from any human imposter—
ballads of long nights lifting
to starlight, songs of bones, turds,
conquests, hunts, smells, rankings,
things settled long before our birth."
53,A Dog's Life,Daniel Groves,"A stay of execution: one last day, 
your day, old Everydog, then, as they say, 
or as we say (a new trick to avoid 
finalities implicit in destroyed), 
you have to be put down, or put to sleep— 
the very dog who, once, would fight to keep 
from putting down, despite our shouts, a shoe 
until he gnawed it to the sole, and who 
would sit up, through our sleepless nights, to bark 
away some menace looming in the dark. 

Can you pick up the sense of all this talk? 
Or do you still just listen for a walk, 
or else, the ultimate reward, a car?— 
My God, tomorrow's ride . . . Well, here we are, 
right now. You stare at me and wag your tail. 
I stare back, dog-like, big and dumb. Words fail. 
No more commands, ignore my monologue, 
go wander off. Good dog. You're a good dog. 
And you could never master, anyway, 
the execution, as it were, of Stay"
54,The Dowser’s Ear,Wilmer Mills,"Empty cattle trailers 
               Rumbled dummy thunder 
Down the road all day, and now tonight, 
Heat lightning flashes more of the same fake rain. 
It’s just as well. I couldn’t get to sleep, 
And now it ricochets across the sky 
With empty loads of light. We’ve had a month 
Of drought that tightens dirt around my pond. 
The local wells are dry. But I’ve retired, 
Threw out my wand. I hate this time of year. 
            
               Roux can burn if flour 
               Sticks in skillet butter. 
I’ve been cooking up a storm myself, 
My Daddy’s filé gumbo recipe. 
He used to be a chef on oil rigs 
Until the hurricane. I heard the waves 
That killed him, and I hear them every year. 
It’s emptiness that fills me. That’s my skill. 
I hear the vacant rain before it falls. 
It’s like the murmur of a spiraled shell. 
         
               Hurricane weather, stewing 
               Deep for landfall, spewing 
Rain-a-plenty in the Gulf and here 
In Tennessee they always have a lack 
Of something. Two men called today for wells. 
I told them both to go to hell, and now 
They think I’m sinful, not to use my skill. 
They stand to lose so much, but don’t we all. 
I lost a lot in Hurricane Camille 
And even now can’t hear the end of it. 

               More heat lightning flashes, 
               Absent rain that passes 
Over clouds, and I can make it out, 
Each gurgling current under withered fields, 
Down kitchen drains. The neighbors think I’m crazy, 
Up all hours, but they’ll never know 
The screaming voice inside a breaker’s rage 
Or how it simmers in my ear. I hate 
The sound of water. Give me one good chance 
To make it silent. I’d be right as rain."
55,Dream of the Huntress,Robin Robertson,"It is always the same: 
she is standing over me 

in the forest clearing, 
a dab of blood on her cheek 

from a rabbit or a deer. 
I am aware of nothing 

but my mutinous flesh, 
and the traps of desire 

sent to test it— 
her bare arms, bare 

shoulders, her loosened hair, 
the hard, high breasts, 

and under a belt 
of knives and fish-lures, 

her undressed wound. 
Every night the same: 

the slashed fetlock, 
the buckling under; 

I wake in her body 
broken, like a gun."
56,Driving West in 1970,Robert Bly,"My dear children, do you remember the morning
When we climbed into the old Plymouth
And drove west straight toward the Pacific?

We were all the people there were.
We followed Dylan's songs all the way west.
It was Seventy; the war was over, almost;

And we were driving to the sea.
We had closed the farm, tucked in
The flap, and were eating the honey

Of distance and the word ""there.""
 Oh whee, we're gonna fly
 Down into the easy chair. We sang that

Over and over. That's what the early
Seventies were like. We weren't afraid.
And a hole had opened in the world.

We laughed at Las Vegas.
There was enough gaiety
For all of us, and ahead of us was

The ocean. Tomorrow's
 The day my bride's gonna come.
And the war was over, almost."
57,During the Service,Carrie Grabo,"How strange my lack of faith must seem to you. 
I see the way your god provides a cradle for your grief; 
how lovely to be certain that the ancient story's true. 

You sang the hymns as if each word were new—
At last, you sang, at last in Your / Eternal arms I'll find relief 
(how strange my lack of faith must seem to you)—

while I kept drifting, lost in the refrains and in the blue 
fragility the tinted glass provided us to bow beneath 
(how lovely to be certain that the ancient story's true). 

Beneath that moderated sky we rose and sang and cried on cue; 
familiar words were read to keep our sorrow brief 
(how sad my lack of faith must seem to you); 

the book upon the altar and the hymnals in each pew 
held pages edged in fine gold leaf—
how lovely seeing that the ancient story's true—

and I was wondering just what it cost to see this vaulting through: 
the ceilings, windows, ornament; the engineering of belief . . . 

But let my lack of faith seem strange to you! 
You're lovely certain that the ancient story's true."
58,Earthly Meditations,Robert Wrigley,"The Afterlife

1

Spring, and the first full crop of dandelions gone
to smoke, the lawn lumpish with goldfinches,
hunched in their fluffs, fattened by seed,
alight in the wind-bared peduncular forest.
Little bells, they loop and dive, bend
the delicate birch branches down.
I would enter the sky through the soil
myself, sing up the snail bowers
and go on the lam with the roots.
Licked by filaments, I would lie,
a billion love-mouths to suckle and feed.

Where the river will be next week,
a puddle two trout go savagely dying in.
Notice the bland, Darwinian sand: bone wrack
and tree skin, the ground down moon bowls
of mussels, viral stones dividing like mold.
At twelve, I buried the frog because it was dead
and dug it up because I'd been dreaming—
a fish belly light, a lowly chirruped chorus
of amens. I thought my nights might smell of hell.

Bland, hum-drum, quotidian guilt—
if I've killed one frog, I've killed two.
Saint Rot and the sacraments of maggots:
knowing is humus and sustenance is sex.
It accrues and accrues, it stews
tumorous with delight. Tomorrow's
a shovelful, the spit of the cosmos, one day
the baby's breath is no longer a rose."
63,Escaped Housewife Prefers the Term Cosmetologist,Karen Craigo,"Quasi-scientific? Maybe. 
But think of beautician, 
a word that assumes loveliness 
is brought off by technology. 

She prefers cosmetologist— 
how it seems to have something 
to do with the stars. She believes 
she can see the future 
when she stares face-down 
at the globe of a stranger's scalp 
and adjusts the tilt of his head. 

At the Academy, she is learning 
about the tendencies of things 
to remain where they fall. 
She knows some tricks— 
spritz and gel, the so-called 
permanent wave. She wonders 
where they come from, 
this galaxy of dowdy customers. 

Some days her precision cuts 
hang like torn drapes 
on a dirty window. 
I see you've tried 
an asymmetrical look, 
her instructor might say, 
snipping corrections. 
At the Academy, asymmetrical 
is spelled with a D. 

She came here to verify 
what she always suspected: 
that straight hair must be curled, 
curly hair straightened, 
long hair cut, short hair extended. 
That what comes to us by fate 
is wrong."
64,Eschatology of the Lexicon,J. Allyn Rosser,"They come down to us  
rounding the corners of centuries  
at an innocent jog, shedding letters  
and most of the grand old meanings  
to take on the sleek new hide  
our day demands, a snappier  
nap that can repel the stare  
of a rather less tactful sun;  

they come down to us com-  
pounding, bounding in idiot  
joy, they come with that trustful  
tired old mutt look, that soft woof,  
warm doggie sigh on the knee,  
hoping for what? Some reason,  
no doubt, to continue sounding.  
Give me one good reason,  

they come down to us saying,  
as if we could have one without them."
65,Eve's Design,Moira Linehan,"Then there's the Yemeni legend  
of Eve in the Garden knitting  
a pattern on the serpent's back,  
the snake unfinished like the rest  
of creation, the first woman  
thinking to add design, a sheath  
of interlocking diamonds and stripes  
along that sensuous S,  
knitting giving her time to learn  
what's infinitely possible  
with a few stitches, twisting cables,  
hers a plan to mirror the divine  
inner layer that can't be shed  
no matter what it rubs up against."
66,Every Day We Are Dancers,Mitch Roberson,"It begins with the lewd macarena  
each of us performs in the shower,  
then the modified twist we are hip to  
with that ever-absorbent partner, the towel,  

and on to the funky chicken of stepping into underwear,  
the shimmy of stretching into hose.  
There is no music, none that anyone  
can hear, yet no one can escape the boogie.  

Outside beneath the disco ball of the Sun  
no one is a wallflower, not even the two lugs  
in the crosswalk lugging a huge mirror,  
one at either end pressing his cheek  

into the cheek of his own reflection, arm  
extended, hand clasping his own hand in a tango  
more about control than passion, one couple  
leading himself forward, the other slide-stepping  

backwards across the intersection made double  
by the infinite burden they shoulder together.  
At the entrances of buildings even those afflicted  
with two left feet find grace with a stranger  

in a revolving door, where, regardless of gender,  
we share a pause and glance to communicate  
who will lead, who will follow,  
close to each other but never quite touching."
67,The Extension of the Dead,Gary Fincke,"Getting drunk, a friend called women 
He had slept with, men he hated, 
And then 911, repeating 
""Emergency"" like a schoolboy. 

""Try 999,"" I suggested, 
Giving him the hot-line number 
That Malaysians, once, imagined 
Was the extension of the dead, 

Their calls, instead, directed to 
The homes for police and firemen 
And medical help, dispatchers 
Picking up for thousands who thought, 

Immediately, they had linked 
With the calm voices of the dead. 
Cautions? Disclaimers? Those callers, 
Regardless, asked about heaven's 

Lifestyle, what it meant to be dead. 
They chanted incantations to 
Ward off whatever might travel 
Through phone lines from the afterlife. 

""What's the story with you,"" my friend 
Kept on repeating, receiving 
Sympathy, curses, threats, a fine. 
And the Malaysians? They, at last, 

Asked for help with the lottery— 
Because surely the selfless dead 
Knew the winning numbers, the sort 
Of thing you heard in paradise."
68,Fable,Tom Sleigh,"A little village in Texas has lost its idiot.
-Caption on a protest sign

Let us deal justly.
-Edgar, disguised as Poor Tom, from Shakespeare's King Lear; act 3, scene 6 

But where, oh where is the holy idiot,
truth teller and soothsayer, familiar

of spirits, rat eater, unhouseled wanderer
whose garble and babble fill rich and poor,

homeless and housed, with awe and fear?
Is he hiding in the pit of the walkie-talkie,

its grid of holes insatiably hungry,
almost like a baby, sucking in the police sergeant's

quiet voice as he calls in reinforcements?
Oh holy idiot, is that you sniffing the wind

for the warm turd smell on the mounted policemen
backing their horses' quivering, skittish

haunches into the demonstrators' faces?
Oh little village among the villages,

the wild man, the holy Bedlamite is gone,
and nobody, now, knows where to find him...

Lying in mud? lying caked in mud, hair elfed into knots?
Some poor mad Tom roving the heath

for a warm soft place to lie his body down,
his speech obsessed with oaths, demons,

his tongue calling forth the Foul Fiend, Flibbertigibbet
as the horses back slowly, slowly into the crowd

and he eats filth, he crams his ravenous mouth with filth—
and then he sits on his stool in the trampled hay

and deep-rutted mud, he anoints himself
with ashes and clay, he puts on his crown

of fumiter weed and holds his scepter
of a smouldering poker and calls the court to order."
69,THE FABRIC OF LIFE,Kay Ryan,"It is very stretchy.  
We know that, even if  
many details remain  
sketchy. It is complexly  
woven. That much too  
has pretty well been  
proven. We are loath  
to continue our lessons  
which consist of slaps  
as sharp and dispersed  
as bee stings from  
a smashed nest  
when any strand snaps— 

hurts working far past  
the locus of rupture,  
attacking threads  
far beyond anything  
we would have said  
connects."
70,Faith,Linda Pastan,"For Ira

With the seal of science 
emblazoned 
on your forehead, 
like the old Good Housekeeping 
Seal of Approval, 
I believe what you tell me 
about cells and molecules, 
though I can't see them. 

And though the language you speak 
is full of numbers and symbols 
I'll never understand; 
though your tie is askew 
and your hair unruly, still I believe 
what you say about the size of the universe, 
which is either expanding or contracting, 
I've forgotten which already. 

So if tomorrow you tell me 
you made a small miscalculation, 
that God indeed created the world 
in 6 short days, then rested on the 7th, 
that it was Eve who landed us 
in all this trouble, I would believe you. 
I would believe you 
as I've always done before."
71,Far Company,W. S. Merwin,"At times now from some margin of the day
I can hear birds of another country
not the whole song but a brief phrase of it
out of a music that I may have heard
once in a moment I appear to have
forgotten for the most part that full day
no sight of which I can remember now
though it must have been where my eyes were then
that knew it as the present while I thought
of somewhere else without noticing that
singing when it was there and still went on
whether or not I noticed now it falls
silent when I listen and leaves the day
and flies before it to be heard again
somewhere ahead when I have forgotten"
72,February,Bill Christophersen,"The cold grows colder, even as the days 
grow longer, February's mercury vapor light 
buffing but not defrosting the bone-white 
ground, crusty and treacherous underfoot. 
This is the time of year that's apt to put 
a hammerlock on a healthy appetite, 
old anxieties back into the night, 
insomnia and nightmares into play; 
when things in need of doing go undone 
and things that can't be undone come to call, 
muttering recriminations at the door, 
and buried ambitions rise up through the floor 
and pin your wriggling shoulders to the wall; 
and hope's a reptile waiting for the sun."
73,Felix Crow,Kay Ryan,"Crow school
is basic and
short as a rule—
just the rudiments
of quid pro crow
for most students.
Then each lives out
his unenlightened
span, adding his
bit of blight
to the collected
history of pushing out
the sweeter species;
briefly swaggering the
swagger of his
aggravating ancestors
down my street.
And every time
I like him
when we meet."
74,First Job,Joseph Campana,"All evening I hunted 
the bird that wanted 
a cage of glass, 
here where cemetery 
slides into creek, fronting 
what was once the largest 
indoor leather mill in the world. 
There the skins gathered 
for cleansing, coloring, 
scraping, shipping off. 

It closed three years after 
a lone sparrow set up camp 
behind the only desk 
in the only full-serve 
service station left in town 
where, from four to seven 
nightly one summer, 
I blackened the pages 
of books with my thumbs. 

Whatever it sought there— 
thumping its frightened body 
against glass, into cabinets 
or out to the bays 
scrubbed raw with gasoline 
where the broken waited 
to be raised up, hosed off, 
fastened together in hope 
of coughing to life again— 
whatever it sought was not a dollar 
slipped through a window cracked 
because patronage was right 
for the aging ladies of August to provide 
from Chryslers cool in the sun. 

There was nothing to be found 
in books or boxes of parts. 
And the tools hanging from pegs 
were as useless as my hands, 
which could not patch together 
those straggling conveyances 
any more than I could 
with a tattered broom 
batter the bird to freedom 
as I swung at fluttering terror 
as I sought with useless devices 
some fortune reposed 
in corners of grease and dust."
75,Firstborn,Kurt S. Olsson,"In the end, he has to teach them everything, 
even death, as he finds them that night by the fire, 
giggling and buzzing more like brother and sister 
than father and mother, waiting for him to bring 
meat for the evening meal, not noticing 
the gore matting the hair to his arms and chest, 
no more surprised than the first time they'd laid eyes 
on him when he'd slipped like a small, thrashing 
gift from the net of his mother. For days, they'd left him 
in the same place where he'd fallen, alone, around him 
a pile of rotting fruit they kept adding to. His cries 
had puzzled then delighted them until he finally 
grew weary of their laughter and of waiting and crawled 
to where his mother lay by the fire, his nose knowing 
the way to her dugs, untended, leaking and already 
sour, and he'd clamped his jaw down so hard 
he tasted blood in the first warm suck, 
this act taken not so much in anger or in hunger, 
but as a way to announce his presence. Now, 
they blink at him through the flames, and he isn't 
sure they even know which of the two he is. 
When he explains, they nod yes, smiling, 
as if he were the herald of a new mystery, 
a coming storm or a fire in the mountains. 
When he leads them to where his brother lies 
a dry, broken stalk among the rocks, they nod again, 
still smiling but unsure now, so he must lift his brother 
again, cradle his shallow bones against his chest, 
the head worn into the nook under his neck, 
and draw the knife again, just as he's done 
a thousand times before, always 
as if in practice not for the murder itself, 
but for this dumb show for mother and father. 
The blade finds the wound, flicks past his own throat, 
and he hears again the sound a soul makes leaking 
from a body, but there is no blood this time, 
he must give them all, blood and thunder and retribution,
he must teach them everything, even life, 
so only when he hurtles out into the night 
does he hear the first cry, his, not theirs, the sobs 
rippling out, lapping over and through him, until 
they are enormous, pitiless, no longer his, but the maw 
of a god who will damn but never devour him."
76,Fish of the Flood,Emilia Stuart Lorimer,"Fish of the flood, on the bankèd billow
          Thou layest thy head in dreams;
Sliding as slides thy shifting pillow,
          One with the streams
                    Of the sea is thy spirit.

Gean-tree, thou spreadest thy foaming flourish
          Abroad in the sky so grey;
It not heeding if it thee nourish,
          Thou dost obey,
                    Happy, its moving.

So, God, thy love it not needeth me,
Only thy life, that I blessèd be."
77,The Fisherman,William Butler Yeats,"Although I can see him still— 
The freckled man who goes 
To a gray place on a hill 
In gray Connemara clothes 
At dawn to cast his flies— 
It's long since I began 
To call up to the eyes 
This wise and simple man.  
All day I'd looked in the face  
What I had hoped it would be  
To write for my own race  
And the reality:  
The living men that I hate,  
The dead man that I loved,  
The craven man in his seat,  
The insolent unreproved— 
And no knave brought to book  
Who has won a drunken cheer— 
The witty man and his joke  
Aimed at the commonest ear,  
The clever man who cries  
The catch cries of the clown,  
The beating down of the wise  
And great Art beaten down. 

Maybe a twelve-month since 
Suddenly I began, 
In scorn of this audience, 
Imagining a man, 
And his sun-freckled face 
And gray Connemara cloth, 
Climbing up to a place 
Where stone is dark with froth, 
And the down turn of his wrist 
When the flies drop in the stream— 
A man who does not exist,  
A man who is but a dream;  
And cried, “Before I am old  
I shall have written him one  
Poem maybe as cold  
And passionate as the dawn.”"
78,Fishing,A.E. Stallings,"The two of them stood in the middle water,
The current slipping away, quick and cold,
The sun slow at his zenith, sweating gold,
Once, in some sullen summer of father and daughter.
Maybe he regretted he had brought her—
She'd rather have been elsewhere, her look told—
Perhaps a year ago, but now too old.
Still, she remembered lessons he had taught her:
To cast towards shadows, where the sunlight fails
And fishes shelter in the undergrowth.
And when the unseen strikes, how all else pales
Beside the bright-dark struggle, the rainbow wroth,
Life and death weighed in the shining scales,
The invisible line pulled taut that links them both."
79,Fog Horns,David Mason,"The loneliest days,   
damp and indistinct,   
sea and land a haze.   
   
And purple fog horns   
blossomed over tides—   
bruises being born   
   
in silence, so slow,   
so out there, around,   
above and below.   
   
In such hurts of sound   
the known world became   
neither flat nor round.   
   
The steaming tea pot   
was all we fathomed   
of   is  and   is not .   
   
The hours were hallways   
with doors at the ends   
opened into days   
   
fading into night   
and the scattering   
particles of light.   
   
Nothing was done then.   
Nothing was ever   
done. Then it was done."
80,For a Student Sleeping in a Poetry Workshop,David Wagoner,"I've watched his eyelids sag, spring open 
   Vaguely and gradually go sliding 
      Shut again, fly up 
With a kind of drunken surprise, then wobble 
   Peacefully together to send him 
      Home from one school early. Soon his lashes 
Flutter in REM sleep. I suppose he's dreaming 
   What all of us kings and poets and peasants 
      Have dreamed: of not making the grade, 
Of draining the inexhaustible horn cup 
   Of the cerebral cortex where ganglions 
      Are ganging up on us with more connections 
Than atoms in heaven, but coming up once more 
   Empty. I see a clear stillness 
      Settle over his face, a calming of the surface 
Of water when the wind dies. Somewhere 
   Down there, he's taking another course 
      Whose resonance (let's hope) resembles 
The muttered thunder, the gutter bowling, the lightning 
   Of minor minions of Thor, the groans and gurgling 
      Of feral lovers and preliterate Mowglis, the songs 
Of shamans whistled through bird bones. A worried neighbor 
   Gives him the elbow, and he shudders 
      Awake, recollects himself, brings back 
His hands from aboriginal outposts, 
   Takes in new light, reorganizes his shoes, 
      Stands up in them at the buzzer, barely recalls 
His books and notebooks, meets my eyes 
   And wonders what to say and whether to say it, 
      Then keeps it to himself as today's lesson."
81,For Allen Ginsberg,X J Kennedy,"Ginsberg, Ginsberg, burning bright,   
Taunter of the ultra right,   
What blink of the Buddha’s eye   
Chose the day for you to die?

Queer pied piper, howling wild,
Mantra-minded flower child,   
Queen of Maytime, misrule’s lord   
Bawling, Drop out! All aboard!

Finger-cymbaled, chanting Om,
Foe of fascist, bane of bomb,
Proper poets’ thorn-in-side,
Turner of a whole time’s tide,

Who can fill your sloppy shoes?
What a catch for Death. We lose
Glee and sweetness, freaky light,
Ginsberg, Ginsberg, burning bright."
82,FOR GRANT WOOD,Margaret Mackinnon,"""The trees are mended.""

A shy man seeks perfection in his art:
 Across vast acres, color and shape of tidiness,
 Iowa's unruly grass submits, blade by blade.
 The blue of Mother's dishes tints the sky.

Across vast acres, color and shape of tidiness,
 sloping rows and rectangles piece a new land.
 The blue of Mother's dishes tints the sky.
 Like a black quilt tied with loops of green, 

sloping rows and rectangles piece the new land.
 The reassuring fields of corn unfold
 like black quilts tied with loops of green.
 Under the artist's alchemy, 

the reassuring fields of corn unfold.
 Sweet clouds hover like the hands of God.
 Under the artist's alchemy,
 even winter's leaden skies grow bright. 

Sweet clouds hover like the hands of God
 as the Thirties' skylines and bread lines disappear.
 Even winter's leaden skies grow bright.
 A yellow hill rises, like the belly of a woman ripe with child, 

as the skylines and bread lines disappear.
 Iowa's unruly grass submits, blade by blade,
 a yellow hill rises—
 and the shy man finds perfection in his art."
83,For Laurel and Hardy on My Workroom Wall,David Wagoner,"They’re tipping their battered derbies and striding forward 
   In step for a change, chipper, self-assured, 
      Their cardboard suitcases labeled 
Guest of Steerage. They’ve just arrived at the boot camp 
   Of the good old French Foreign Legion 
      Which they’ve chosen as their slice of life 
Instead of drowning themselves. Once again 
   They’re about to become their own mothers and fathers 
      And their own unknowable children 
Who will rehearse sad laughter and mock tears, 
   Will frown with completely unsuccessful 
      Concentration, and will practice the amazement 
Of suddenly understanding everything 
   That baffles them and will go on baffling them 
      While they pretend they’re only one reel away 
From belonging in the world. Their arrival 
   Will mark a new beginning of meaningless 
      Hostilities with a slaphappy ending. In a moment, 
They’ll hear music, and as if they’d known all along 
   This was what they’d come for, they’ll put down 
      The mops and buckets given them as charms 
With which to cleanse the Sahara and move their feet 
   With a calm, sure, delicate disregard 
      For all close-order drill and begin dancing."
84,"For Micha's Mother, Who Signs",Robert A. Fink,"It is not poetry you fear, but poets, 
their indelible brand 
of words. How will your daughter 
escape the mark men hanged 
young women for in Salem? 
I am nothing more than a teacher, 
like you. See, I have removed 
my shoes and socks. I am rolling 
my trousers above my ankles. 
No cloven hooves. Long feet and toes 
like you and your beautiful daughter. 

It is language that has won 
her over, earth-bound words 
walking orderly across the page 
like children holding to 
the rope attached to your wrist, 
teacher and students 
traversing the noisy street 
at the crosswalk, with the light 
of your fingers composing 
the line your children read, 
each syllable's afterimage trailing 
your quick passage of hands 
conducting the boys and girls 
safely from one curb to the other."
85,"Frame, an Epistle",Claudia Emerson,"Most of the things you made for me—blanket- 
chest, lapdesk, the armless rocker—I gave 
away to friends who could use them and not 
be reminded of the hours lost there, 
not having been witness to those designs, 
the tedious finishes. But I did keep 
the mirror, perhaps because like all mirrors, 
most of these years it has been invisible, 
part of the wall, or defined by reflection— 
safe—because reflection, after all, does change. 
I hung it here in the front, dark hallway 
of this house you will never see, so that 
it might magnify the meager light, 
become a lesser, backward window. No one 
pauses long before it. But this morning, 
as I put on my overcoat, then straightened 
my hair, I saw outside my face its frame 
you made for me, admiring for the first 
time the way the cherry you cut and planed 
yourself had darkened, just as you said it would."
